zipcode,country_code,place,state,state_code,province,province_code,community,community_code,latitude,longitude,inc_2021-11-25,inc_2021-12-20
82256,DE,Fürstenfeldbruck,Bayern,BY,Upper Bavaria,091,Fürstenfeldbruck,09179,48.179,11.2547,462.6,173.7
83064,DE,Raubling,Bayern,BY,Upper Bavaria,091,Landkreis Rosenheim,09187,47.7905,12.1109,1460.7,365.7
84307,DE,Eggenfelden,Bayern,BY,Lower Bavaria,092,Landkreis Rottal-Inn,09277,48.4051,12.7575,1306.2,256.2
85051,DE,Ingolstadt,Bayern,BY,Upper Bavaria,091,Ingolstadt,09161,48.7212,11.4096,609.0,330.8
85221,DE,Dachau,Bayern,BY,Upper Bavaria,091,Landkreis Dachau,09174,48.26,11.434,590.5,259.8
85354,DE,Freising,Bayern,BY,Upper Bavaria,091,Landkreis Freising,09178,48.3938,11.7331,521.9,259.0
85764,DE,Oberschleißheim,Bayern,BY,Upper Bavaria,091,Landkreis München,09184,48.25,11.5667,540.5,191.0
86154,DE,Augsburg,Bayern,BY,Swabia,097,Augsburg,09761,48.3932,10.8814,586.8,242.0
86156,DE,Augsburg,Bayern,BY,Swabia,097,Augsburg,09761,48.3815,10.8548,586.8,242.0
87435,DE,Kempten,Bayern,BY,Swabia,097,Kempten (Allgäu),09763,47.7184,10.3132,732.5,306.1
88212,DE,Ravensburg,Baden-Württemberg,BW,Tübingen Region,084,Landkreis Ravensburg,08436,47.7815,9.6183,628.2,359.9
89073,DE,Ulm,Baden-Württemberg,BW,Tübingen Region,084,Ulm,08421,48.4015,9.9927,525.3,315.7
89081,DE,Ulm Jungingen,Baden-Württemberg,BW,Tübingen Region,084,Ulm,08421,48.4459,9.989,525.3,315.7
90419,DE,Nürnberg,Bayern,BY,Regierungsbezirk Mittelfranken,095,Nürnberg,09564,49.4639,11.0671,603.6,322.4
90429,DE,Nürnberg,Bayern,BY,Regierungsbezirk Mittelfranken,095,Nürnberg,09564,49.4599,11.0275,603.6,322.4
90530,DE,Wendelstein,Bayern,BY,Regierungsbezirk Mittelfranken,095,Landkreis Roth,09576,49.3523,11.1507,544.2,323.2
91054,DE,Buckenhof,Bayern,BY,Regierungsbezirk Mittelfranken,095,Landkreis Erlangen-Höchstadt,09572,49.5932,11.0504,374.4,221.6
92224,DE,Amberg,Bayern,BY,Upper Palatinate,093,Amberg,09361,49.4429,11.8627,587.4,259.2
92637,DE,Weiden,Bayern,BY,Upper Palatinate,093,Weiden i.d.OPf.,09363,49.6768,12.1561,568.9,183.4
93049,DE,Regensburg,Bayern,BY,Upper Palatinate,093,Regensburg,09362,49.0153,12.0577,498.5,302.1
93053,DE,Regensburg,Bayern,BY,Upper Palatinate,093,Regensburg,09362,48.9965,12.1202,498.5,302.1
93133,DE,Burglengenfeld,Bayern,BY,Upper Palatinate,093,Landkreis Schwandorf,09376,49.2038,12.0445,678.9,321.9
94034,DE,Passau,Bayern,BY,Lower Bavaria,092,Passau,09262,48.589,13.3971,755.5,221.3
95444,DE,Bayreuth,Bayern,BY,Upper Franconia,094,Bayreuth,09462,49.9461,11.5762,457.8,243.1
95448,DE,Bayreuth,Bayern,BY,Upper Franconia,094,Bayreuth,09462,49.9474,11.5993,457.8,243.1
95652,DE,Waldsassen,Bayern,BY,Upper Palatinate,093,Landkreis Tirschenreuth,09377,50.0017,12.3043,408.7,159.0
97072,DE,Würzburg,Bayern,BY,Regierungsbezirk Unterfranken,096,Würzburg,09663,49.7829,9.9366,407.2,248.1
97080,DE,Würzburg,Bayern,BY,Regierungsbezirk Unterfranken,096,Würzburg,09663,49.8017,9.9058,407.2,248.1
97422,DE,Schweinfurt,Bayern,BY,Regierungsbezirk Unterfranken,096,Schweinfurt,09662,50.0545,10.2441,542.0,562.7
98527,DE,Suhl,Thüringen,TH,,00,"Suhl, Stadt",16054,50.608,10.6957,893.0,876.5
98617,DE,Ellingshausen,Thüringen,TH,,00,Landkreis Schmalkalden-Meiningen,16066,50.55,10.4667,951.4,996.5
99084,DE,Erfurt,Thüringen,TH,,00,"Erfurt, Stadt",16051,50.9746,11.0297,661.2,779.6
99089,DE,Erfurt,Thüringen,TH,,00,"Erfurt, Stadt",16051,50.9968,11.0079,661.2,779.6
99092,DE,Erfurt,Thüringen,TH,,00,"Erfurt, Stadt",16051,50.973,10.9787,661.2,779.6
99817,DE,Eisenach,Thüringen,TH,,00,"Eisenach, Stadt",16056,50.9807,10.3152,625.2,639.6
99947,DE,Kleinwelsbach,Thüringen,TH,,00,Unstrut-Hainich-Kreis,16064,51.1833,10.6667,579.2,868.3
99974,DE,Unstruttal,Thüringen,TH,,00,Unstrut-Hainich-Kreis,16064,51.2639,10.4472,579.2,868.3
65929,DE,Frankfurt am Main,Hessen,HE,Regierungsbezirk Darmstadt,064,"Frankfurt am Main, Stadt",06412,50.1045,8.5389,358.2,251.1
