zipcode,country_code,place,state,state_code,province,province_code,community,community_code,latitude,longitude,inc_2021-11-25,inc_2021-12-20
32758,DE,Detmold,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,057,Lippe,05766,51.9509,8.8658,272.1,509.8
33602,DE,Bielefeld,Nordrhein-Westfalen,NW,Reg.-Bez. Detmold,057,"Bielefeld, Stadt",05711,52.0245,8.5326,393.1,286.0
34119,DE,Kassel,Hessen,HE,Regierungsbezirk Kassel,066,"Kassel, documenta-Stadt",06611,51.3152,9.4647,246.7,231.8
34125,DE,Kassel,Hessen,HE,Regierungsbezirk Kassel,066,"Kassel, documenta-Stadt",06611,51.3195,9.5163,246.7,231.8
35043,DE,Marburg,Hessen,HE,Reg.-Bez. Gießen,065,Marburg-Biedenkopf,06534,50.7765,8.7645,154.5,143.1
35392,DE,Gießen,Hessen,HE,Reg.-Bez. Gießen,065,Gießen,06531,50.5669,8.6538,183.3,167.1
35781,DE,Weilburg,Hessen,HE,Reg.-Bez. Gießen,065,Limburg-Weilburg,06533,50.4844,8.2625,192.1,175.3
36043,DE,Fulda,Hessen,HE,Regierungsbezirk Kassel,066,Fulda,06631,50.5345,9.6922,359.6,351.5
37075,DE,Göttingen,Niedersachsen,NI,,00,Landkreis Göttingen,03159,51.5509,9.9328,241.7,224.1
37077,DE,Göttingen,Niedersachsen,NI,,00,Landkreis Göttingen,03159,51.5604,9.9319,241.7,224.1
38440,DE,Wolfsburg,Niedersachsen,NI,,00,"Wolfsburg, Stadt",03103,52.4239,10.7812,268.9,256.8
39104,DE,Magdeburg,Sachsen-Anhalt,ST,,00,Landeshauptstadt Magdeburg,15003,52.1243,11.6322,499.6,584.0
39120,DE,Magdeburg,Sachsen-Anhalt,ST,,00,Landeshauptstadt Magdeburg,15003,52.0816,11.6212,499.6,584.0
39124,DE,Magdeburg,Sachsen-Anhalt,ST,,00,Landeshauptstadt Magdeburg,15003,52.1638,11.6333,499.6,584.0
40210,DE,Düsseldorf,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,"Düsseldorf, Stadt",05111,51.2216,6.7897,325.2,250.6
40215,DE,Düsseldorf,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,"Düsseldorf, Stadt",05111,51.2165,6.7836,325.2,250.6
40225,DE,Düsseldorf,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,"Düsseldorf, Stadt",05111,51.2055,6.7885,325.2,250.6
40476,DE,Düsseldorf,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,"Düsseldorf, Stadt",05111,51.2465,6.7855,325.2,250.6
40477,DE,Düsseldorf,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,"Düsseldorf, Stadt",05111,51.2371,6.7795,325.2,250.6
40721,DE,Hilden,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,Mettmann,05158,51.1694,6.9253,278.5,323.1
41169,DE,Mönchengladbach,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,"Mönchengladbach, Stadt",05116,51.2,6.4333,300.0,219.1
41460,DE,Neuss,Nordrhein-Westfalen,NW,Reg.-Bez. Düsseldorf,051,Rhein-Kreis Neuss,05162,51.2014,6.6944,274.8,171.5
